id,name,industry,employeeCount,foundedYear,healthScore,engagementScore,alignmentScore,retentionRate,createdAt,updatedAt
10f04d13-83f8-4976-8f5b-9f5ab4be5862,SmartCorporation,Government,1323,2016,79.0,65.6,91.5,92.1,2025-01-21T20:33:44.196726,2025-11-17T20:33:44.196728
d69f95b5-d0f9-49ad-9d45-42f7007be44f,TechVentures,Healthcare,2358,2020,90.7,64.3,88.5,91.1,2025-07-31T20:33:44.196737,2025-11-17T20:33:44.196739
403d4034-bfa2-4963-98e9-e7c9f9799498,NextGroup,Professional Services,6725,1996,84.1,84.9,76.2,83.8,2025-09-22T20:33:44.196751,2025-11-17T20:33:44.196754
2bf694d5-e059-40ae-bce2-c4a09cabf37f,DigitalIndustries,Technology,1090,2000,87.0,77.3,68.4,91.1,2025-01-09T20:33:44.196788,2025-11-17T20:33:44.196792
f929e9e8-cadb-42c6-97da-cbfb83e04b1c,EliteIndustries,Healthcare,5079,1992,93.1,79.2,64.8,80.5,2025-04-12T20:33:44.196804,2025-11-17T20:33:44.196806
a72d731d-4bfb-4eff-b763-654017270de8,SummitVentures,Financial Services,720,1991,70.8,86.5,85.5,92.9,2025-04-18T20:33:44.196815,2025-11-17T20:33:44.196817
08c331d1-f2ae-4899-9820-a4c51c555c0e,SmartEnterprises,Nonprofit,281,2018,90.6,89.1,84.0,93.9,2025-06-19T20:33:44.196830,2025-11-17T20:33:44.196832
cc7e759f-bd14-4a0e-af00-97f69c312cf6,UnitedTechnologies,Education,951,1990,66.3,87.4,85.0,86.2,2025-06-13T20:33:44.196841,2025-11-17T20:33:44.196843
f8497bdf-63ea-4838-a2c7-d5ee50fa698f,NextTechnologies,Technology,295,2017,76.5,62.0,89.4,85.2,2025-06-24T20:33:44.196852,2025-11-17T20:33:44.196854
027af966-b16a-430f-b0a8-b4f7de265c2b,SmartSystems,Professional Services,704,1998,90.3,88.8,68.9,89.6,2025-03-28T20:33:44.196864,2025-11-17T20:33:44.196865
55f6554c-55d0-4fbf-8743-1e0539f0f818,PrimeVentures,Healthcare,1056,2018,94.0,61.2,90.8,84.0,2025-08-24T20:33:44.196875,2025-11-17T20:33:44.196879
ff7b8e4e-92e3-43db-96e7-988a8e07effe,SummitIndustries,Professional Services,2492,2003,81.2,72.9,72.3,88.6,2025-06-10T20:33:44.196888,2025-11-17T20:33:44.196890
33eba272-53ed-420f-9c57-0b4cc7e20db6,TechIndustries,Nonprofit,366,2011,85.2,81.0,81.5,85.5,2025-09-13T20:33:44.196902,2025-11-17T20:33:44.196904
f34c2c97-575b-493e-b555-137383e5a6ee,PrimeCorporation,Healthcare,7571,2013,91.5,72.7,81.3,84.9,2025-05-20T20:33:44.196915,2025-11-17T20:33:44.196917
052e496c-138d-4d9f-8c6d-bb749aca23ea,ApexTechnologies,Education,715,2011,86.2,61.1,78.2,86.1,2025-10-18T20:33:44.196926,2025-11-17T20:33:44.196927
0a759a54-93ca-4a16-ad26-fe19f4ef92b8,NextGroup,Media & Entertainment,720,2009,82.9,71.3,74.1,83.2,2025-02-18T20:33:44.196937,2025-11-17T20:33:44.196939
59967385-3216-4557-ac57-be74c8e88c10,GlobalTechnologies,Nonprofit,245,2011,82.2,66.7,86.2,91.3,2025-05-13T20:33:44.196950,2025-11-17T20:33:44.196952
dc1aa6c7-7ecf-4639-b748-71fd2c96f958,SmartEnterprises,Technology,512,1997,94.4,76.4,84.6,86.8,2024-11-30T20:33:44.196961,2025-11-17T20:33:44.196963
ff093b7a-4474-4066-a7fc-27323a46e2a1,SummitEnterprises,Education,4524,1997,65.2,79.1,88.6,92.9,2025-08-25T20:33:44.196972,2025-11-17T20:33:44.196974
4fef0c1f-6638-4952-a4a0-ecb0ba379ff3,GlobalIndustries,Nonprofit,590,2004,61.8,63.7,87.1,86.8,2025-02-23T20:33:44.196983,2025-11-17T20:33:44.196985
