id,organizationId,departmentId,teamId,role,tenureMonths,engagementScore,culturalContributions,recognitionsReceived,recognitionsGiven,lastActiveDate,createdAt,updatedAt
1e55f4e4-4689-5e59-a6ba-0a05e08a4580,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,8c802c61-3bef-4c64-8842-37a093ebd2f5,933651f5-223f-41a7-8333-542f42ce5647,Senior Manager,123,83.5,48,16,38,2025-11-08T20:33:44.197745,2015-10-11T20:33:44.197747,2025-11-17T20:33:44.197748
d570682c-5de2-feeb-918e-d1d43d153fa0,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,d7d41c03-3c0a-465b-991c-b59c064b53fa,db7bef01-07be-44a8-949f-b35efedf6621,Senior Manager,147,53.6,11,9,0,2025-10-26T20:33:44.197759,2013-10-21T20:33:44.197761,2025-11-17T20:33:44.197762
e31c84a3-00ae-e4df-8621-0ee257ac8090,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,007addd6-6e3d-4357-8aca-f05fdecdf24e,1b51735d-c83c-4daa-a429-8c7b6a7c4a94,Individual Contributor,27,98.5,35,9,8,2025-10-28T20:33:44.197774,2023-08-30T20:33:44.197776,2025-11-17T20:33:44.197777
b505f35c-e024-a39f-65ff-296015d18cd9,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,f720aefd-80f4-4741-983b-28e1a372a940,3fab97c2-3910-4088-aa9a-64da78691275,Individual Contributor,24,74.4,30,15,28,2025-11-07T20:33:44.197811,2023-11-28T20:33:44.197813,2025-11-17T20:33:44.197814
d1b56948-36a9-b9e4-65af-dcd8ab5553e6,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,1f436dfd-fea0-4fed-a6da-3754b2056395,b7474890-1f35-4e83-9937-6fed96082599,Senior Manager,197,96.5,30,3,4,2025-11-05T20:33:44.197830,2009-09-12T20:33:44.197832,2025-11-17T20:33:44.197834
b9c3f396-11c8-13a3-9ed1-99a01411ece4,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,f720aefd-80f4-4741-983b-28e1a372a940,bb287fb0-df0c-477a-80ed-027a97e9d79c,Individual Contributor,21,49.1,36,30,19,2025-11-15T20:33:44.197845,2024-02-26T20:33:44.197847,2025-11-17T20:33:44.197849
bb66d430-e961-83f6-0fe8-a3cc5489c578,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,8c802c61-3bef-4c64-8842-37a093ebd2f5,1ef83273-81bb-45c5-8e4f-a83df488abda,Senior Director,26,76.4,50,19,14,2025-10-24T20:33:44.197860,2023-09-29T20:33:44.197861,2025-11-17T20:33:44.197863
2401c2c5-dac5-7602-cea0-b0d3500a9dd1,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,007addd6-6e3d-4357-8aca-f05fdecdf24e,53dd64a5-1a1a-4df3-ac21-7db06f0b03b9,VP,61,57.8,37,13,19,2025-10-30T20:33:44.197874,2020-11-13T20:33:44.197876,2025-11-17T20:33:44.197877
1e3b6ca9-5732-c2fc-0ea5-df600aa275f7,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,26be0f37-9fb5-41d1-b4c5-d364d2068c63,Senior Contributor,19,96.9,13,20,13,2025-11-09T20:33:44.197888,2024-04-26T20:33:44.197890,2025-11-17T20:33:44.197891
a2db5426-e9d0-d3a7-f174-5b9a167954a4,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,d7d41c03-3c0a-465b-991c-b59c064b53fa,2e9da3ce-d1f8-434e-8f06-3cc21747f561,Team Lead,31,73.1,10,0,26,2025-11-03T20:33:44.197902,2023-05-02T20:33:44.197904,2025-11-17T20:33:44.197905
01959560-34ea-8dd4-355e-f99634c0d46f,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,5cb91a02-f334-4bf2-82c9-bc58cd4f459a,Individual Contributor,74,53.9,45,9,29,2025-11-15T20:33:44.197916,2019-10-20T20:33:44.197918,2025-11-17T20:33:44.197919
baf9b076-2a58-1ebc-f0f7-0118f53da1a0,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,8c802c61-3bef-4c64-8842-37a093ebd2f5,87acf4fb-0b11-4c30-b916-6870c7e8fbe3,Manager,177,65.5,34,7,9,2025-10-19T20:33:44.197931,2011-05-05T20:33:44.197933,2025-11-17T20:33:44.197934
e3102595-e275-fe4a-30f5-7de0e76e7e20,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,ed2e361d-08cf-4d89-8eb7-02052e17e7b4,b8c4a304-9dbf-4f0c-a8d3-f10995e0a935,Senior Contributor,145,43.6,50,9,38,2025-10-25T20:33:44.197946,2013-12-20T20:33:44.197948,2025-11-17T20:33:44.197949
eb48d09c-9112-aa9c-c721-c7cbb9f52424,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,3d9437c1-5cd4-4877-9f67-f86451a82626,VP,176,47.5,44,9,25,2025-10-18T20:33:44.197960,2011-06-04T20:33:44.197962,2025-11-17T20:33:44.197963
0780d6f8-c374-d31b-42d2-fc22fb56fa6c,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,ed2e361d-08cf-4d89-8eb7-02052e17e7b4,80d31b59-ae9d-4ba2-8144-1a22cb3e9b50,VP,79,66.3,38,1,27,2025-10-25T20:33:44.197979,2019-05-23T20:33:44.197981,2025-11-17T20:33:44.197982
be73588d-65e3-30fc-c50e-d3269a16136a,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,cf9519f5-92ec-45a6-90fa-06b83a4f0bed,5f6a981b-c399-4092-8449-a28cb2484139,Individual Contributor,96,45.5,43,26,36,2025-10-30T20:33:44.197996,2017-12-29T20:33:44.197997,2025-11-17T20:33:44.197999
b41e1c03-2bc7-e4b9-ecfc-3644b775402d,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,608513f1-0dde-4227-ab3f-13865381afed,2882307f-81cb-4dae-b43d-d1ac68001b4d,Senior Manager,235,74.6,48,24,11,2025-11-02T20:33:44.198010,2006-07-30T20:33:44.198012,2025-11-17T20:33:44.198013
42edeb25-0704-2d35-a6bc-1572a18f5c3e,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,007addd6-6e3d-4357-8aca-f05fdecdf24e,6cc099e3-6d19-4f8d-ba51-c01f5339d592,Senior Manager,105,50.9,37,13,40,2025-10-22T20:33:44.198024,2017-04-03T20:33:44.198026,2025-11-17T20:33:44.198028
1de15409-a1d7-5c7b-37d3-802b203e5c8e,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,f720aefd-80f4-4741-983b-28e1a372a940,edb4042f-c983-4556-a103-22cca1f93fef,VP,200,60.9,21,10,6,2025-10-21T20:33:44.198039,2009-06-14T20:33:44.198041,2025-11-17T20:33:44.198042
0fd29916-108c-58ae-7114-bce6f228986c,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,1f436dfd-fea0-4fed-a6da-3754b2056395,fc3408d1-1a77-4ebe-8604-2e59c402204f,VP,53,57.3,25,26,35,2025-11-16T20:33:44.198054,2021-07-11T20:33:44.198056,2025-11-17T20:33:44.198059
0ddbfb0a-cdef-ef40-5364-9df1af061d0d,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,f720aefd-80f4-4741-983b-28e1a372a940,05e511f7-846e-416c-85bf-708c9ede3a9c,Senior Manager,23,59.4,49,12,32,2025-10-22T20:33:44.198072,2023-12-28T20:33:44.198074,2025-11-17T20:33:44.198075
50b64ba8-405e-4c51-8ed8-6f26643cf085,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,608513f1-0dde-4227-ab3f-13865381afed,970c1632-191a-432c-be3d-75777f0b3cfd,C-Level,107,67.7,3,6,33,2025-11-06T20:33:44.198086,2017-02-02T20:33:44.198088,2025-11-17T20:33:44.198089
20fad6ff-fc94-3316-321e-df28bfdb398e,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,f6e4b9a9-3ad1-4a05-8522-7305446f0b66,VP,127,85.6,13,8,35,2025-11-13T20:33:44.198104,2015-06-13T20:33:44.198105,2025-11-17T20:33:44.198107
41c02fa5-5056-9e96-e5ef-ba1ddbcea1f9,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,ed2e361d-08cf-4d89-8eb7-02052e17e7b4,5b9942be-4819-4fec-b2ea-22a79cbc8c59,VP,69,47.3,40,19,15,2025-10-26T20:33:44.198131,2020-03-18T20:33:44.198133,2025-11-17T20:33:44.198135
8fa72e9a-a8f6-499f-d795-49b951b94c56,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,1f436dfd-fea0-4fed-a6da-3754b2056395,4acd9898-7119-445c-8f3c-95a58982739c,Individual Contributor,51,73.1,5,7,7,2025-11-03T20:33:44.198151,2021-09-09T20:33:44.198152,2025-11-17T20:33:44.198154
aa146172-1652-a357-39a8-b8e50f84f41e,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,d7d41c03-3c0a-465b-991c-b59c064b53fa,84b72f47-ab45-4009-8f37-73b2e426014d,Team Lead,105,69.9,45,9,32,2025-10-26T20:33:44.198165,2017-04-03T20:33:44.198167,2025-11-17T20:33:44.198168
6d3e6916-a9a1-5fa7-ff0b-3550d58befe8,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,ed2e361d-08cf-4d89-8eb7-02052e17e7b4,52cce383-2171-4349-a112-b100676f0cdc,VP,66,98.8,15,14,35,2025-11-13T20:33:44.198179,2020-06-16T20:33:44.198181,2025-11-17T20:33:44.198182
44ed6aff-1653-e1b5-ea78-25bf85e81e3f,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,60230a8d-1608-434c-b149-8dbca9a7301c,2d0eeba0-5a70-410a-a488-0de8b9e3cfb7,C-Level,35,84.8,8,27,4,2025-11-09T20:33:44.198205,2023-01-02T20:33:44.198207,2025-11-17T20:33:44.198208
d4648a4c-f3cb-08fa-3979-2c1e404b7358,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,60230a8d-1608-434c-b149-8dbca9a7301c,d96dabd3-0965-4bd8-b58e-5c94c26de7dd,C-Level,55,56.0,0,9,19,2025-10-22T20:33:44.198224,2021-05-12T20:33:44.198227,2025-11-17T20:33:44.198229
c914c73d-1b5d-cbda-fa40-a6e6332105b1,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,5bd79c11-1f6b-45c7-8e71-27911410fe55,7174c063-5a49-43fc-8955-70e2fd06e159,VP,92,91.9,28,17,30,2025-11-06T20:33:44.198253,2018-04-28T20:33:44.198256,2025-11-17T20:33:44.198258
8ba9a3e2-2de4-1a4f-2397-fece35eb060e,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,cf9519f5-92ec-45a6-90fa-06b83a4f0bed,f1c0954b-b83c-42d2-9ff0-a8a086cae46a,C-Level,87,62.6,20,27,12,2025-10-26T20:33:44.198284,2018-09-25T20:33:44.198286,2025-11-17T20:33:44.198288
5dc2a2f7-9f58-9afc-f3fd-35adfe97e250,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,8c802c61-3bef-4c64-8842-37a093ebd2f5,fa06dd8e-b2c0-46df-95e0-d3b06e358b46,Manager,91,91.4,26,1,20,2025-10-25T20:33:44.198300,2018-05-28T20:33:44.198302,2025-11-17T20:33:44.198306
105d1d98-a1d5-c0cf-0765-65545c009d7a,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,f720aefd-80f4-4741-983b-28e1a372a940,ee2d40a9-4d22-4687-bdc9-1f9119747fa9,Senior Director,116,63.2,42,25,9,2025-11-02T20:33:44.198320,2016-05-08T20:33:44.198323,2025-11-17T20:33:44.198325
7f004ff9-af8b-ce2e-c5fa-d9435a6ba7a0,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,608513f1-0dde-4227-ab3f-13865381afed,0af50ce1-1e7d-41eb-bbf0-29e5dad0c3b7,Director,27,92.2,28,3,33,2025-10-19T20:33:44.198354,2023-08-30T20:33:44.198357,2025-11-17T20:33:44.198360
dbd2c335-ea14-f8c5-8766-782d6ebc9851,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,f720aefd-80f4-4741-983b-28e1a372a940,fa1d6e82-d310-4fa1-bb6e-bab5844969a7,Team Lead,10,64.6,41,4,4,2025-11-02T20:33:44.198388,2025-01-21T20:33:44.198390,2025-11-17T20:33:44.198392
371faecc-5a31-ca78-7111-3b1de06d62bf,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,ed2e361d-08cf-4d89-8eb7-02052e17e7b4,9b6024ca-ebd3-4d32-afd3-444785cfe9f2,Senior Director,55,79.0,21,27,34,2025-11-05T20:33:44.198417,2021-05-12T20:33:44.198420,2025-11-17T20:33:44.198423
a48a1ead-20a6-d7c7-8007-37a92adc90e5,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,cf9519f5-92ec-45a6-90fa-06b83a4f0bed,c4a37c91-049f-4b43-b256-6d47bc3b30da,VP,101,92.3,2,19,4,2025-11-10T20:33:44.198467,2017-08-01T20:33:44.198469,2025-11-17T20:33:44.198477
dcd9446e-b1f8-de26-b704-50f6dd92560e,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,ed2e361d-08cf-4d89-8eb7-02052e17e7b4,7eb417eb-3d2d-428c-88c5-f48bae0ae975,Senior Contributor,228,66.0,6,24,40,2025-10-26T20:33:44.198509,2007-02-25T20:33:44.198512,2025-11-17T20:33:44.198514
f2567b7b-db60-1e8f-7f77-37b888b278c0,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,d7d41c03-3c0a-465b-991c-b59c064b53fa,ef086955-a0f7-4de9-afce-6726f8d6f612,Senior Manager,70,94.2,2,10,3,2025-11-08T20:33:44.198544,2020-02-17T20:33:44.198548,2025-11-17T20:33:44.198550
95337a18-6552-3cfb-87f8-c2caa510e9ec,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,cf9519f5-92ec-45a6-90fa-06b83a4f0bed,7858be23-7c83-4370-b252-27aaeb28ec7b,Team Lead,60,54.7,26,18,11,2025-11-12T20:33:44.198587,2020-12-13T20:33:44.198590,2025-11-17T20:33:44.198594
9f1d2f50-96b0-2dd8-212b-8bb0e5482419,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,1f436dfd-fea0-4fed-a6da-3754b2056395,57239ceb-2618-4630-a10f-208f573546c3,Senior Director,21,77.2,15,15,37,2025-11-13T20:33:44.198631,2024-02-26T20:33:44.198635,2025-11-17T20:33:44.198637
01333ee6-327f-f080-94af-ea84d1db2ba3,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,8c802c61-3bef-4c64-8842-37a093ebd2f5,6f38180f-63bc-49c3-8721-c67aeedb440d,Senior Manager,73,67.6,42,0,29,2025-10-20T20:33:44.198685,2019-11-19T20:33:44.198692,2025-11-17T20:33:44.198694
332bd55e-2724-c502-e50f-bd9b03e1651d,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,ed2e361d-08cf-4d89-8eb7-02052e17e7b4,6d4dcc57-a172-4d3f-9131-ed6856653aea,Team Lead,110,44.4,22,18,19,2025-10-28T20:33:44.198721,2016-11-04T20:33:44.198724,2025-11-17T20:33:44.198726
01a3cdf2-16ad-05f2-406c-af3f50bcfbbb,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,60230a8d-1608-434c-b149-8dbca9a7301c,f0b341e8-29f5-4d18-9031-cef026a5f986,VP,113,90.7,12,12,30,2025-11-14T20:33:44.198766,2016-08-06T20:33:44.198769,2025-11-17T20:33:44.198772
3a4957d9-c7c3-bbca-90d3-849491afb582,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,8c802c61-3bef-4c64-8842-37a093ebd2f5,3acdc47d-9e39-4d7d-b4c0-4b7d688c976d,Director,61,74.5,44,9,1,2025-10-22T20:33:44.198804,2020-11-13T20:33:44.198807,2025-11-17T20:33:44.198809
1c4485b7-52bf-ff46-af9c-24f3d1c93b74,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,60230a8d-1608-434c-b149-8dbca9a7301c,93c62847-6faf-433c-be97-2fa22f735e46,Individual Contributor,46,94.6,47,15,18,2025-10-24T20:33:44.198834,2022-02-06T20:33:44.198837,2025-11-17T20:33:44.198839
d500f340-fc73-7d81-5f6c-e6022240643c,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,8c802c61-3bef-4c64-8842-37a093ebd2f5,8000cb09-35bd-4944-9eb6-d1f6cbbd4cd3,Director,97,53.1,12,19,16,2025-10-27T20:33:44.198856,2017-11-29T20:33:44.198859,2025-11-17T20:33:44.198861
11ec1615-c9e8-378d-9978-f6a14335a087,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,1f436dfd-fea0-4fed-a6da-3754b2056395,a06b314a-b7a1-4269-a942-8ebac2472459,Individual Contributor,101,58.5,28,1,37,2025-11-06T20:33:44.198877,2017-08-01T20:33:44.198880,2025-11-17T20:33:44.198883
764d45fb-3cc8-96ef-37d1-c63f59cc85a5,1a50d0f7-eedc-4f49-9ea1-3807bebd9947,1f436dfd-fea0-4fed-a6da-3754b2056395,02be6f40-77bb-402b-a26f-db96b6879c31,Senior Manager,23,59.6,26,5,12,2025-11-13T20:33:44.198908,2023-12-28T20:33:44.198911,2025-11-17T20:33:44.198913
